Site,UTM_easting,UTM_northing
APC1,481385.0625,4128220.25
BNA1,481936.9063,4128061.25
CNO1,480197.9063,4122465
CNO2,483287.9375,4119785.25
CNO3,481182.9688,4121689.5
DC1,479937.5938,4129446.25
DC2,479635,4128889.5
DC3,479416.1563,4125564.25
DC4,479466.625,4127130.75
DHC1,465859.9688,4156810.25
EFU1,466605.5625,4160053
ELP1,480005.9688,4122406.75
ELP2,484390.625,4124350.5
ELP3,482159.75,4124600.25
HWK1,482046.9688,4131080
HWK2,483867.4063,4131101
LCC1,481204.2813,4131210.25
LCC2,482369.5313,4132101.5
LUC1,463081.4375,4156253.5
LUC2,464675.8438,4153652.25
LUC3,459988.0313,4157636.5
LUC4,461862.625,4156867
MFU1,463473.375,4162603.25
NFT1,479399.9688,4137574.5
NFT2,476273.625,4136932.75
PLC1,474686.5938,4158059
PLC2,472843.6563,4164736.5
PLC3,473564.9688,4161511.5
PLC4,474733.25,4161542.5
PLC5,470192.8438,4162484.25
PLC6,471411.6875,4159843
PLC7,472675.5313,4158936.25
PLC8,474513.1563,4159353.5
SDC1,470325.4375,4149708
SDC2,474524.625,4157118
SDC3,474673.4063,4156145
SDC4,480169.7813,4162079.75
SDC5,473107.5,4152085
SDC6,462875.875,4142084.25
SDC7,469675.5938,4146245.25
SFNFT1,481660.75,4136831.25
SFT1,480708.375,4129212.25
SFT2,482144.3125,4128433.75
SFT3,479900.5313,4130197.75
SFT4,483945.6563,4129011.25
SFT5,477779.75,4131995.25
SFT6,475789.1875,4134646.25
SFT7,479675.5313,4130802.75
SFT8,480015.6563,4129573.75
SQ1,477451.9375,4135802.75
SQ2,478474.3125,4135001
TC1,470106.5,4138025.25
TC3,467689.625,4138723
TC4,474887.8438,4136083.25
TC5,473489.8438,4136727.25
UTE1,463150.0625,4145556.5
UTE2,465671.8125,4159958
UTE3,464304.4375,4148014.25
UTE4,461219.125,4142968.75
UTE5,466054.125,4157342.75
UTE6,466075.8125,4155895.5
UTE7,465589.625,4153462
UTE8,465374.8438,4152218.25
UTE9,464928.7813,4150014.5
UTE10,464336,4148480.25
WFU1,463180.6875,4160777.5
WIC1,475232.7813,4144607.25
WL1,458459.8125,4157792.5
NFNFT1,482064.3125,4137651
TC2,472729.625,4136912.5
